Date,Price
2024-01-01,102.48
2024-01-02,104.02
2024-01-03,112.47
2024-01-04,121.02
2024-01-05,115.89
2024-01-06,118.9
2024-01-07,130.21
2024-01-08,127.57
2024-01-09,121.94
2024-01-10,126.68
2024-01-11,120.5
2024-01-12,118.58
2024-01-13,119.56
2024-01-14,105.71
2024-01-15,103.23
2024-01-16,105.43
2024-01-17,99.57
2024-01-18,102.78
2024-01-19,93.59
2024-01-20,88.52
2024-01-21,101.0
2024-01-22,91.39
2024-01-23,92.54
2024-01-24,85.62
2024-01-25,91.44
2024-01-26,96.97
2024-01-27,93.67
2024-01-28,104.96
2024-01-29,104.25
2024-01-30,110.32
2024-01-31,113.47
2024-02-01,130.45
2024-02-02,125.65
2024-02-03,124.6
2024-02-04,137.66
2024-02-05,130.45
2024-02-06,139.85
2024-02-07,130.42
2024-02-08,134.13
2024-02-09,141.43
2024-02-10,142.99
2024-02-11,138.25
2024-02-12,134.25
2024-02-13,130.26
2024-02-14,120.94
2024-02-15,121.13
2024-02-16,118.81
2024-02-17,122.98
2024-02-18,116.34
2024-02-19,103.24
2024-02-20,111.77
2024-02-21,107.08
2024-02-22,105.3
2024-02-23,112.29
2024-02-24,115.8
2024-02-25,117.56
2024-02-26,111.71
2024-02-27,118.02
2024-02-28,125.39
2024-02-29,133.14
2024-03-01,130.57
2024-03-02,136.75
2024-03-03,136.67
2024-03-04,140.39
2024-03-05,154.09
2024-03-06,159.82
2024-03-07,154.92
2024-03-08,161.72
2024-03-09,159.06
2024-03-10,153.71
2024-03-11,157.59
2024-03-12,161.56
2024-03-13,151.14
2024-03-14,156.07
2024-03-15,131.72
2024-03-16,145.32
2024-03-17,138.04
2024-03-18,132.68
2024-03-19,131.56
2024-03-20,118.61
2024-03-21,125.54
2024-03-22,127.27
2024-03-23,132.55
2024-03-24,123.12
2024-03-25,123.09
2024-03-26,126.87
2024-03-27,136.97
2024-03-28,137.69
2024-03-29,137.57
2024-03-30,147.31
2024-03-31,149.94
2024-04-01,159.0
2024-04-02,155.17
2024-04-03,161.22
2024-04-04,164.55
2024-04-05,162.2
2024-04-06,173.25
2024-04-07,174.49
2024-04-08,173.76
2024-04-09,172.24
2024-04-10,165.19
2024-04-11,168.25
2024-04-12,166.09
2024-04-13,160.72
2024-04-14,160.49
2024-04-15,159.71
2024-04-16,163.51
2024-04-17,151.53
2024-04-18,148.87
2024-04-19,144.65
